"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
1339,"NCT04738695","SARS-CoV-2 Seroprevalence Among Nursing Home Staff and Residents (COVID-19)","Recruiting","No Results Available","Covid19|SARS-CoV-2 Infection","Diagnostic Test: Point-of-care rapid anti-SARS-CoV-2 antibody test (Orient Gene Biotech) and Dry Blood Spot collection (Euroimmun)","Sciensano|KU Leuven|University of Liege|Universiteit Antwerpen","Observational","Ghent University, Ghent, Oost-Vlaanderen, Belgium",,"https://ClinicalTrials.gov/show/NCT04738695"
1340,"NCT04530396","Clinical Trial of Efficacy, Safety, and Immunogenicity of Gam-COVID-Vac Vaccine Against COVID-19","Active, not recruiting","No Results Available","Covid19 Prevention","Biological: Gam-COVID-Vac|Other: placebo","Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation|Government of the city of Moscow|CRO: Crocus Medical BV","Interventional","ARCHIMED V Clinic of new medical technologies limited liability company, Moscow, Russian Federation|Hadassah LTD, Moscow, Russian Federation|Medsi Group of companies joint-stock company"", Moscow, Russian Federation|Niarmedic Plus, Moscow, Russian Federation|State budgetary healthcare institution of the city of Moscow ""City clinical hospital No. 52 of the Moscow city health Department"", Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Consultation and Diagnosis Polyclinic No. 121, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, M. Konchalovsky Municipal Clinical Hospital, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, M. Zhadkevich Municipal Clinical Hospital, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Municipal Polyclinic No. 115, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Municipal Polyclinic No. 2, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Municipal Polyclinic No. 210, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Municipal Polyclinic No. 212, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Municipal Polyclinic No. 219, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Moscow, Municipal Polyclinic No. 220, Moscow Healthcare Department, Moscow, Russian Federation|State Budgetary Healthcare Institution, Municipal Polyclinic No. 62, Moscow Healthcare Department, Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow "" city polyclinic No. 109 Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow "" city polyclinic No. 170 Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow "" city polyclinic No. 36 Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow "" city polyclinic No. 46 Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow "" city polyclinic No. 6 Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow "" city polyclinic No. 68 Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow ""Diagnostic center No. 5 with polyclinic Department Of the Department of health of the city of Moscow"", Moscow, Russian Federation|State budgetary institution of health care of the city of Moscow ""Diagnostic clinical center No. 1 Of the Department of health of the city of Moscow"", Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04530396"
1341,"NCT04667286","Awake Pronation for Covid-19 Treatment","Not yet recruiting","No Results Available","Covid-19 Infection","Procedure: Prone Position (PP)","Azienda Ospedaliera Universitaria di Bologna Policlinico S. Orsola Malpighi|Azienda Unità Sanitaria Locale Reggio Emilia|Azienda Ospedaliera di Bolzano|Azienda Ospedaliero-Universitaria di Modena","Interventional",,,"https://ClinicalTrials.gov/show/NCT04667286"
1342,"NCT04732637","Concordance Between Buccal Cavity Swab and Nasopharyngeal Swab for SARS-CoV-2 (COVID-19) Detection by RT-PCR and ELISA","Not yet recruiting","No Results Available","Covid19","Diagnostic Test: Test At Home's Proprietary ""Lollipop"" Buccal Cavity Swab","Datar Cancer Genetics Limited|Test At Home|National University, Singapore","Observational","Datar Cancer Genetics, Nashik, Maharashtra, India",,"https://ClinicalTrials.gov/show/NCT04732637"
1343,"NCT04523012","COVID-19 and HIV Patients","Recruiting","No Results Available","Covid19","Other: Seroprevalence of SARS-CoV-2 infection in patients with HIV infection","Centre de Recherches et d'Etude sur la Pathologie Tropicale et le Sida","Observational","Valérie POURCHER, Paris, Ile De France, France",,"https://ClinicalTrials.gov/show/NCT04523012"
1344,"NCT04431453","Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of Remdesivir (GS-5734™) in Participants From Birth to < 18 Years of Age With Coronavirus Disease 2019 (COVID-19)","Recruiting","No Results Available","COVID-19","Drug: Remdesivir","Gilead Sciences","Interventional","Children's Hospital of Alabama, Birmingham, Alabama, United States|Ronald Reagan University of California, Los Angeles Medical Center, Los Angeles, California, United States|Valley Children's Hospital, Madera, California, United States|Rady Children's Hospital San Diego, San Diego, California, United States|Tampa General Hospital (Inpatient Visits), Tampa, Florida, United States|Ann & Robert H. Lurie Children's Hospital, Chicago, Illinois, United States|Tulane University School of Medicine, New Orleans, Louisiana, United States|Johns Hopkins Children's Center, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|UMass Memorial Medical Center - University Campus, Worcester, Massachusetts, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|Spectrum Health/Helen De Vos Children's Hospital, Grand Rapids, Michigan, United States|Children's Minnesota, Minneapolis, Minnesota, United States|Children's Hospital and Medical Center, Omaha, Nebraska, United States|NYC Health + Hospitals/Jacobi Medical Center, Bronx, New York, United States|Montefiore Medical Center, Bronx, New York, United States|Northwell Health-Cohen Children's Medical Center, New Hyde Park, New York, United States|Carolinas Medical Center-Levine Children's Hospital, Charlotte, North Carolina, United States|Lehigh Valley Hospital/Lehigh Valley Health Network (LVH/LVHN), Allentown, Pennsylvania, United States|St. Christopher's Hospital for Children, Philadelphia, Pennsylvania, United States|Children's Medical Center, Dallas, Texas, United States|Texas Children's Hospital, Houston, Texas, United States|Azienda Ospedaliero Universitaria Meyer, Florence, Italy|University Hospital of Padova, Clinic of Pediatric Hematology-Oncology, Padova, Italy|University Hospital of Parma, Parma, Italy|Hospital Universitari Vall D'Hebron, Barcelona, Spain|Hospital Sant Joan de Déu, Esplugues de llobregat, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Clínico Universitario de Santiago, Santiago de Compostela, Spain|University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom|Alder Hey Children's NHS Foundation Trust, Liverpool, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|King's College NHS Foundation Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04431453"
1345,"NCT04428268","Chloroquine + Losartan Compared to Chloroquine Alone for the Treatment of COVID-19 Pneumonia","Withdrawn","No Results Available","COVID-19 Pneumonia","Drug: Chloroquine Phosphate Tablets","Hospital Universitario Dr. Jose E. Gonzalez","Interventional","Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico",,"https://ClinicalTrials.gov/show/NCT04428268"
1346,"NCT04528901","Study of seroPREvalence Vis-à-vis SARS-CoV2 and Correlation With Clinical Forms of COVID-19 in Patients Followed in Pneumology in the Cluster Area of the Grand-Est Region (Strasbourg University Hospital)","Recruiting","No Results Available","Covid-19",,"University Hospital, Strasbourg, France","Observational","Les Hôpitaux Universitaires de Strasbourg, Strasbourg, Bas-Rhin, France",,"https://ClinicalTrials.gov/show/NCT04528901"
1347,"NCT04568655","The Noninvasive Ventilation to COVID-19 Patients","Completed","No Results Available","Noninvavie Ventilation to Patients With COVID-19","Device: noninvasive ventilation","The First Affiliated Hospital of Guangzhou Medical University","Observational","The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04568655"
1348,"NCT04367402","COST (COvid STudio) ACTION: Study for the Evaluation of Specific Antibodies Anti Covid-19 Linked to Covid-19 Infection, Symptoms and Genetic Expression of ACE2 Polymorphisms in Patients (COST ACTION)","Recruiting","No Results Available","COVID-19","Other: BioMedomics COVID-19 IgM-IgG Rapid Test","Azienda Ospedaliera San Paolo","Observational","AO San Paolo, Milan, IT, Italy",,"https://ClinicalTrials.gov/show/NCT04367402"
1349,"NCT04422626","Data Analysis of the Cytokine Adsorption Treatment on Coronavirus Disease-19 (COVID-19) Patients With Respiratory Failure","Not yet recruiting","No Results Available","SARS-CoV-2|COVID-19",,"University of Pecs","Observational",,,"https://ClinicalTrials.gov/show/NCT04422626"
1350,"NCT04481685","A Trial of Aclaris Therapeutics, Inc. (ATI)-450 in Patients With Moderate-severe Novel Coronavirus Disease 2019 (COVID-19)","Recruiting","No Results Available","Covid19","Drug: ATI-450|Drug: Placebo","University of Kansas Medical Center","Interventional","The University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT04481685"
1351,"NCT04346615","Safety and Efficacy Trial of Zavegepant* Intranasal for Hospitalized Patients With COVID-19 Requiring Supplemental Oxygen","Recruiting","No Results Available","COVID-19 Infection","Drug: Zavegepant (BHV-3500)|Drug: Placebo","Biohaven Pharmaceuticals, Inc.","Interventional","Georgetown University Medical Center, Washington, District of Columbia, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|Roper Hospital, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04346615"
1352,"NCT04545541","Nebulised Heparin in Patients With Severe COVID-19","Recruiting","No Results Available","Covid19|Respiratory Failure","Drug: Nebulised unfractionated heparin (UFH)","Australian National University","Interventional","Frederick Health Hospital, Frederick, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04545541"
1353,"NCT04751734","Impact of Maternal COVID-19 Vaccines on Breast Milk","Enrolling by invitation","No Results Available","COVID-19 Vaccines","Biological: Covid vaccines","Institute of Agrochemistry and Food Technology, National Research Council|Hospital Clínico Universitario de Valencia|Hospital Sant Joan de Deu|Hospital Universitario La Fe|Hospital Universitario Doctor Peset|Fundacion Para La Investigacion Hospital La Fe|Universitat Jaume I|University of Barcelona","Observational","Fundacion Investigacion Sanitaria INCLIVA, Valencia, Spain|Hospital Universitario y Politecnico la Fe, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04751734"
1354,"NCT04527315","COVID-19 Survivorship Registry","Recruiting","No Results Available","Covid19","Other: Questionnaires","NYU Langone Health","Observational","NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04527315"
1355,"NCT04475471","WORLD HEART FEDERATION (WHF) COVID-19 and Cardiovascular Disease Survey","Recruiting","No Results Available","COVID-19|Cardiovascular Diseases",,"Public Health Foundation of India|Centre for Chronic Disease Control, India|University of Cape Town|World Heart Federation, Geneva, Switzerland","Observational","Hospital de Clinicas of the University, Buenos Aires, Argentina|Hospital de Clinicas of the University, Buenos Aires, Argentina|Hospital de Clinicas of the University, Buenos Aires, Argentina|Hospital de Clinicas of the University, Buenos Aires, Argentina|Hospital de Clinicas of the University, Buenos Aires, Argentina|Sanatorio Güemes Hospital, Buenos Aires, Argentina|University Clinical Center Republic of Srpska, Srpska, Bosnia and Herzegovina|Komfo Anokye Teaching Hospital, Kumasi, Ghana|Kumasi South Regional Hospital, Kumasi, Ghana|Dayanand medical college hospital, Ludhiyana, Punjab, India|Amin Hospital, Isfahan, Iran, Islamic Republic of|Amin Hospital, Isfahan, Iran, Islamic Republic of|Khorshid Hospital, Isfahan, Iran, Islamic Republic of|Fedail Hospital, Khartoum, Sudan",,"https://ClinicalTrials.gov/show/NCT04475471"
1356,"NCT04685655","RescuE pLAsma eXchange in Severe COVID-19","Recruiting","No Results Available","Therapeutic Plasma Exchange|Covid19","Other: Therapeutic plasma exchange","Heidelberg University","Interventional","Christian Nusshag, Heidelberg, Baden-Württemberg, Germany",,"https://ClinicalTrials.gov/show/NCT04685655"
1357,"NCT04535674","Asunercept in Patients With Severe COVID-19","Recruiting","No Results Available","COVID-19 Induced Pneumonia|Covid19","Biological: Asunercept","Apogenix AG","Interventional","Federal State Budgetary Educational Institution of Higher Education ""Kuban State Medical University"" of the Ministry of Health of the Russian Federation, Krasnodar, Russian Federation|State Budgetary Healthcare Institution ""Scientific Research Institute - Regional clinical hospital No. 1 n.a. professor S.V. Ochapovsky"" of the Ministry of Healthcare of Krasnodar Krai, Krasnodar, Russian Federation|State Budgetary Institution of Health of the Nizhny Novgorod Region ""Infectious Clinical Hospital No. 2 of Nizhny Novgorod"", Nizhny Novgorod, Russian Federation|Saint Petersburg state budgetary healthcare institution ""Botkin clinical infectious diseases hospital"", Saint Petersburg, Russian Federation|Saint Petersburg state budgetary healthcare institution ""City hospital of Saint George the great Martyr"", Saint Petersburg, Russian Federation|Saint Petersburg State Budgetary Healthcare Institution ""Mariinskaya City hospital"", Saint Petersburg, Russian Federation|Federal State Budgetary Educational Institution of Higher Education ""Bashkir State Medical University"" of the Ministry of Health of the Russian Federation, Ufa, Russian Federation|Federal State Budgetary Educational Institution of Higher Education ""Bashkir State Medical University"" of the Ministry of Healthcare of the Russian Federation, Ufa, Russian Federation|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario Puerta de Hierro Majadahonda, Majadahonda, Spain|Hospital Universitario Infanta Sofia, San Sebastián De Los Reyes, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain",,"https://ClinicalTrials.gov/show/NCT04535674"
1358,"NCT04359992","Study of Hemostasis in Case of Severe COVID-19","Not yet recruiting","No Results Available","COVID-19 Infection","Other: Extra blood sample","University Hospital, Strasbourg, France","Observational",,,"https://ClinicalTrials.gov/show/NCT04359992"
1359,"NCT04360824","Covid-19 Associated Coagulopathy","Recruiting","No Results Available","COVID 19 Associated Coagulopathy","Drug: Intermediate dose thromboprophylaxis|Drug: Standard of Care thromboprophylaxis","University of Iowa","Interventional","University of Iowa, Iowa City, Iowa, United States|Gundersen Health System, La Crosse, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04360824"
1360,"NCT04723563","Nebulized Heparin for the Treatment of COVID-19","Enrolling by invitation","No Results Available","Covid19|Pneumonia, Viral","Drug: Heparin|Drug: 0.9%sodium chloride","Frederick Health","Interventional","Frederick Health Hospital, Frederick, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04723563"
1361,"NCT04428021","Standard or Convalescent Plasma in Patients With Recent Onset of COVID-19 Respiratory Failure","Recruiting","No Results Available","COVID-19","Drug: Standard Therapy Protocol (STP)|Other: STP + Standard Plasma (SP)|Other: STP + COVID-19 Convalescent Plasma (CP)","Azienda Ospedaliera Città della Salute e della Scienza di Torino","Interventional","AO Città della salute e della scienza di Torino, Torino, Italy",,"https://ClinicalTrials.gov/show/NCT04428021"
1362,"NCT04611841","Medical-biological Research of the Pathogenesis of COVID-19 Disease Caused by SARS-CoV-2","Enrolling by invitation","No Results Available","Covid19",,"Federal Research and Clinical Center of Physical-Chemical Medicine|Burnasyan Federal Medical Biophysical Center|Federal Research Clinical Center of Federal Medical & Biological Agency, Russia|Moscow city hospital named after S.I. Spasokukotskiy|Federal State Public Scientific Institution, Scientific Center for Family Health and Human Reproduction Problems|Federal State Budgetary Healthcare Institution, Hospital RAS","Observational","Federal Research and Clinical Center of Physical-Chemical Medicine of Federal Medical Biological Agency, Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04611841"
1363,"NCT04347278","Observational Study of Follow-up of Hospitalized Patients Diagnosed With COVID-19 to Evaluate the Effectiveness of the Drug Treatment Used to Treat This Disease. COVID-19 Registry","Recruiting","No Results Available","SARS-CoV-2","Drug: Patients with the treatment agains COVID19","Instituto de Investigación Marqués de Valdecilla|Hospital Universitario Marqués de Valdecilla|Hospital Universitario de Canarias|Hospital San Pedro de Alcántara","Observational","Hospital Universitario Marqués de Valdecilla, Santander, Cantabria, Spain",,"https://ClinicalTrials.gov/show/NCT04347278"
1364,"NCT03348670","Discovery Stage (Proof-of-concept) COVID-19 Antigen Presentation Therapeutic Biologics (COVID-19--AP)","Active, not recruiting","No Results Available","Covid19","Biological: COVID-19 Therapeutic Biologics - Spike-GM-CSF Protein Lactated Ringer's Injection","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair|Medicine Invention Design, Inc","Interventional","Medicine Invention Design, Inc. (MIDI) - c/o - MIDINC Clinical Investigator Working Site, North Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03348670"
1365,"NCT04750369","Enhanced Triage for COVID-19","Recruiting","No Results Available","COVID-19|SARS-CoV 2",,"University Health Network, Toronto","Observational","University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04750369"
1366,"NCT04387760","Favipiravir vs Hydroxychloroquine in COVID -19","Recruiting","No Results Available","SARS-CoV 2|COVID-19","Drug: Hydroxychloroquine|Drug: Favipiravir|Other: Routine care for COVID-19 patients","Royal College of Surgeons in Ireland - Medical University of Bahrain|Ebrahim Khalil Kanoo Community Medical Center|Hereditary blood Disorder Centre - Salmaniya Medical Complex|Mohammed Bin Khalifa Bin Sulman Al Khalifa Cardiac Centre, Awali|Jidhafs COVID-19 Centre|Sitra FICU","Interventional","Royal College of Surgeons in Ireland - Bahrain, Manama, Bahrain",,"https://ClinicalTrials.gov/show/NCT04387760"
1367,"NCT04463264","Efficacy and Safety Study of Nitazoxanide (NTX) in the Treatment of Patients With SARS-CoV-2 Virus Infection (COVID-19)","Recruiting","No Results Available","COVID-19","Drug: Nitazoxanide|Drug: Placebo","Laboratorios Roemmers S.A.I.C.F.","Interventional","Hospital Universitario Austral, Presidente Derqui, Buenos Aires, Argentina, Argentina",,"https://ClinicalTrials.gov/show/NCT04463264"
1368,"NCT04383548","Clinical Study for Efficacy of Anti-Corona VS2 Immunoglobulins Prepared From COVID19 Convalescent Plasma Prepared by VIPS Mini-Pool IVIG Medical Devices in Prevention of SARS-CoV-2 Infection in High Risk Groups as Well as Treatment of Early Cases of COVID19 Patients","Not yet recruiting","No Results Available","COVID19","Other: hyper immunoglobulins containing anti-Corona VS2 immunoglobulin","Assiut University","Interventional",,,"https://ClinicalTrials.gov/show/NCT04383548"
1369,"NCT04327531","Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study","Completed","No Results Available","COVID-19|Physician-Patient Relations","Behavioral: turkish physicians","Kanuni Sultan Suleyman Training and Research Hospital","Observational","Pinar Yalcin Bahat, Istanbul, İ̇stanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04327531"
1370,"NCT04649424","COVID-19 Nasal Swab Trial","Not yet recruiting","No Results Available","Covid19","Device: CanSwab","Orthopaedic Innovation Centre","Interventional","Health Sciences Centre, Winnipeg, Manitoba, Canada",,"https://ClinicalTrials.gov/show/NCT04649424"
1371,"NCT04364802","COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients","Recruiting","No Results Available","COVID-19|SARS-CoV 2","Drug: Povidone-Iodine Nasal Spray and Gargle","Alexandra Kejner|University of Kentucky","Interventional","University of Kentucky, Lexington, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT04364802"
1372,"NCT04415060","SedAting With Volatile Anesthetics Critically Ill COVID-19 Patients in ICU: Effects On Ventilatory Parameters And Survival","Recruiting","No Results Available","Covid19","Drug: Isoflurane Inhalant Product|Drug: Sevoflurane inhalant product","Sunnybrook Health Sciences Centre","Interventional","University of Alberta Hospital, Edmonton, Alberta, Canada|London Health Sciences Centre - University Hospital, London, Ontario, Canada|London Health Sciences Centre - Victoria Hospital, London, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|University Health Network - Toronto General Hospital, Toronto, Ontario, Canada|University Health Network - Toronto Western Hopsital, Toronto, Ontario, Canada|Centre hospitalier de l'Université de Montréal, Montréal, Quebec, Canada|Hôpital Sacré-Coeur de Montréal, Montréal, Quebec, Canada|Institut Universitaire de Cardiologie et de Pneumologie de Quebec (IUCPQ), Québec, Quebec, Canada|Universite de Sherbrooke, Sherbrooke, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT04415060"
1373,"NCT04358029","Cardiac Arrhythmias In Patients With Coronavirus Disease (COVID-19)","Recruiting","No Results Available","COVID 19 Cardiac|COVID 16 Arrhythmia|COVID 19 Death",,"Vivek Reddy|Icahn School of Medicine at Mount Sinai","Observational","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04358029"
1374,"NCT04762186","Adoptive SARS-CoV-2 Specific T Cell Transfer in Patients at Risk for Severe COVID-19","Not yet recruiting","No Results Available","Moderate COVID-19-infection","Drug: IMP 1,000 plus SoC|Drug: IMP 5,000 plus SoC|Drug: IMP RP2D plus SoC|Drug: SoC","Universitätsklinikum Köln|ZKS Köln|MMH Institute for Transfusion Medicine|Miltenyi Biomedicine GmbH","Interventional","Department I for Internal Medicine University Hospital of Cologne, Cologne, NRW, Germany",,"https://ClinicalTrials.gov/show/NCT04762186"
1375,"NCT04678700","Implementation of a Respiratory Physiotherapy Program in Post COVID-19 Patients Through Tele-assistance","Recruiting","No Results Available","Covid19- Coronavirus- Sars-cov-2","Other: Chest physiotherapy post-covid19","European University of Madrid","Interventional","Marta de la plaza, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04678700"
1376,"NCT04658121","SARS-CoV-2/COVID-19 Prevalence Study","Enrolling by invitation","No Results Available","COVID-19",,"COVID-19 Prevention Network","Observational","Children's Hospital Colorado CRS, Aurora, Colorado, United States|U of Miami, IDRU at Jackson Memorial Hospital CRS, Miami, Florida, United States|The Ponce de Leon Center CRS, Atlanta, Georgia, United States|UIC Project Wish CRS, Chicago, Illinois, United States|New Orleans Adolescent Trials Unit CRS, New Orleans, Louisiana, United States|John's Hopkins CRS, Baltimore, Maryland, United States|New Jersey Medical School CRS, Newark, New Jersey, United States|Harlem Prevention, New York, New York, United States|Bronx Prevention Center, New York, New York, United States|Chapel Hill CRS, Chapel Hill, North Carolina, United States|Cincinnati CRS, Cincinnati, Ohio, United States|Penn Prevention CRS, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Baylor College of Medicine, Houston, Texas, United States|St. Louis University VTEU-CAIMED-PHSU, Ponce, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT04658121"
1377,"NCT04474288","The COVID-19 PUI Reality Check (CPRC) Study","Recruiting","No Results Available","Covid19 Immunology","Diagnostic Test: SARS-CoV-2 antibody testing","Bassett Healthcare|Bioreference, Inc","Observational","Bassett Medical Center, Cooperstown, New York, United States",,"https://ClinicalTrials.gov/show/NCT04474288"
1378,"NCT04699227","Can RIC Prevent Deterioration to Critical Care in Covid19","Recruiting","No Results Available","Covid19|Ischemia","Procedure: Cuff application with inflation|Other: Sham inflation","Derek Yellon|University College London Hospitals","Interventional","Royal Free London NHS Foundation Trust,, London, United Kingdom|East and North Hertfordshire NHS TrusEast and North Hertfordshire NHS Trus, Stevenage, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04699227"
1379,"NCT04510623","Host Response Mediators in Coronavirus (COVID-19) Infection","Recruiting","No Results Available","COVID-19|SARS-CoV2","Other: ARBs and/or ACE inhibitors|Other: Usual Care","University of British Columbia|Canadian Institutes of Health Research (CIHR)|British Columbia Centre for Disease Control|McGill University Health Centre/Research Institute of the McGill University Health Centre|University of Toronto|University of Ottawa|University of Calgary|University of Alberta|University of Victoria|Wuhan University|Peking Union Medical College|University of Pennsylvania","Observational","University of Calgary - Foothills, Calgary, Alberta, Canada|Stollery Children's Hospital, Edmonton, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada|Surrey Memorial Hospital, Surrey, British Columbia, Canada|St Pauls Hospital, Vancouver, British Columbia, Canada|Vancouver General Hospital, Vancouver, British Columbia, Canada|William Osler Health System, Brampton, Ontario, Canada|Queens University, Kingston, Ontario, Canada|Humber River Hospital, North York, Ontario, Canada|Mount Sinai Hospital, Toronto, Ontario, Canada|St Michael's Hospital, Toronto, Ontario, Canada|Sunnybrook Hospital, Toronto, Ontario, Canada|Jewish General Hospital, Montréal, Quebec, Canada|McGill University Health Center, Montréal, Quebec, Canada|Université de Sherbrooke, Sherbrooke, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT04510623"
1380,"NCT04349410","The Fleming [FMTVDM] Directed CoVid-19 Treatment Protocol","Completed","No Results Available","CoVid 19 Positive","Drug: Hydroxychloroquine, Azithromycin|Drug: Hydroxychloroquine, Doxycycline|Drug: Hydroxychloroquine, Clindamycin|Drug: Hydroxychloroquine, Clindamycin, Primaquine - low dose.|Drug: Hydroxychloroquine, Clindamycin, Primaquine - high dose.|Drug: Remdesivir|Drug: Tocilizumab|Drug: Methylprednisolone|Drug: Interferon-Alpha2B|Drug: Losartan|Drug: Convalescent Serum","The Camelot Foundation","Interventional","FHHI-OI-Camelot; QME, Los Angeles, California, United States","""Study Protocol and Statistical Analysis Plan: Study Protocol with Statistical Analysis"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04349410/Prot_SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04349410/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT04349410"
1381,"NCT04521322","Efficacy of a Nasal Spray Containing Iota-Carrageenan in the Prophylaxis of COVID-19 Disease in Health Personnel Dedicated to Patients Care With COVID-19 Disease","Recruiting","No Results Available","Covid19","Drug: Iota-Carrageenan","Ariel Dogliotti|Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno","Interventional","centro de educación médica e investigaciones clinicas (CEMIC), Buenos Aires, Capital Federal, Argentina",,"https://ClinicalTrials.gov/show/NCT04521322"
1382,"NCT04377464","COVID-19 - Quality of Life After Infection","Not yet recruiting","No Results Available","COVID-19|Quality of Life","Other: SF12, EQ-5D-5L and work status standardized quantitative assessments","Chinese University of Hong Kong","Observational",,"""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/64/NCT04377464/ICF_000.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/64/NCT04377464/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04377464"
1383,"NCT04768244","Impact of Maternal COVID-19 Disease on Breast Milk and Infant Health","Recruiting","No Results Available","Covid19","Other: maternal SARS-CoV-2 infection","Institute of Agrochemistry and Food Technology, National Research Council|Hospital Universitario La Fe|INCLIVA|Hospital Clínico Universitario de Valencia|Hospital Universitario Doctor Peset|Universidad de Granada|Universitat Jaume I|Hospital Sant Joan de Deu|Fetal Medicine Research Center, Spain|Instituto de Investigación Sanitaria Aragón","Observational","Fundacion Investigacion Sanitaria INCLIVA, Valencia, Spain|Hospital Universitario y Politecnico la Fe, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04768244"
1384,"NCT04516512","Assessment of SARS-CoV-2 Seroprevalence in Detention","Not yet recruiting","No Results Available","COVID-19","Biological: Blood draw","Assistance Publique - Hôpitaux de Paris","Interventional",,,"https://ClinicalTrials.gov/show/NCT04516512"
